City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Khandwa,IN,2021-03-29 00:36:31,21.8333,76.3333,80.01,18,21,5.75
180,Phayao,TH,2021-03-29 00:36:31,19.25,100.25,80.01,56,3,3.11
181,Chimoio,MZ,2021-03-29 00:36:32,-19.1164,33.4833,68.0,100,75,8.32
182,Avarua,CK,2021-03-29 00:36:33,-21.2078,-159.775,82.4,78,90,23.02
183,Tooele,US,2021-03-29 00:32:12,40.5308,-112.2983,66.2,27,1,14.97
184,Sorland,NO,2021-03-29 00:36:33,67.667,12.6934,38.89,96,100,30.91
185,Geraldton,AU,2021-03-29 00:35:57,-28.7667,114.6,75.2,64,0,6.91
186,Loreto,MX,2021-03-29 00:36:34,22.2667,-101.9667,66.96,51,0,23.69
187,Alto Araguaia,BR,2021-03-29 00:36:34,-17.3147,-53.2153,69.08,62,0,1.14
188,Sao Joao Da Barra,BR,2021-03-29 00:36:34,-21.6403,-41.0511,77.23,88,100,5.82
189,Narasannapeta,IN,2021-03-29 00:36:35,18.4167,84.05,77.07,85,2,6.24
190,Mocuba,MZ,2021-03-29 00:36:35,-16.8392,36.9856,68.72,98,87,3.15
191,Vanimo,PG,2021-03-29 00:36:36,-2.6741,141.3028,86.4,60,95,3.42
192,Champerico,GT,2021-03-29 00:36:36,14.3,-91.9167,86.0,70,75,6.91
193,Clyde River,CA,2021-03-29 00:36:36,70.4692,-68.5914,-5.8,84,75,5.75
194,Kupang,ID,2021-03-29 00:36:37,-10.1667,123.5833,75.2,100,90,5.75
195,Tuktoyaktuk,CA,2021-03-29 00:36:37,69.4541,-133.0374,-13.0,84,75,12.66
196,Codrington,AU,2021-03-29 00:36:37,-38.2667,141.9667,63.82,57,6,7.9
197,Caravelas,BR,2021-03-29 00:36:38,-17.7125,-39.2481,76.57,81,0,6.38
198,Praia,CV,2021-03-29 00:36:38,14.9215,-23.5087,68.0,73,20,23.02
199,Aykhal,RU,2021-03-29 00:36:38,66.0,111.5,18.09,97,100,6.44
200,Lubumbashi,CD,2021-03-29 00:36:38,-11.6609,27.4794,62.15,97,98,2.86
201,Roscrea,IE,2021-03-29 00:36:39,52.9511,-7.8017,55.0,86,100,7.0
202,Longyearbyen,SJ,2021-03-29 00:36:40,78.2186,15.6401,28.4,74,20,2.3
203,Hailar,CN,2021-03-29 00:36:40,49.2,119.7,33.91,60,76,21.39
204,Mezen,RU,2021-03-29 00:36:41,65.8522,44.24,34.81,97,100,9.24
205,Mitzic,GA,2021-03-29 00:36:41,0.7821,11.549,68.49,99,100,1.99
206,Mitu,CO,2021-03-29 00:36:41,1.1983,-70.1733,68.63,98,100,1.79
207,Srednekolymsk,RU,2021-03-29 00:36:42,67.45,153.6833,5.0,86,99,5.77
208,Riohacha,CO,2021-03-29 00:36:42,11.5444,-72.9072,80.19,68,29,17.78
209,Sisimiut,GL,2021-03-29 00:36:43,66.9395,-53.6735,1.22,69,92,12.73
210,Bitung,ID,2021-03-29 00:36:43,1.4451,125.1824,82.4,83,40,3.44
211,Tuatapere,NZ,2021-03-29 00:34:37,-46.1333,167.6833,61.0,88,36,13.0
212,Potsdam,DE,2021-03-29 00:36:44,52.3989,13.0657,50.0,66,100,1.01
213,Turbat,PK,2021-03-29 00:36:44,26.0023,63.044,78.19,45,29,2.95
214,Nyurba,RU,2021-03-29 00:36:45,63.2842,118.3319,20.68,92,93,4.97
215,Bonavista,CA,2021-03-29 00:36:03,48.6499,-53.1147,23.0,80,35,3.44
216,Constitucion,CL,2021-03-29 00:36:46,-35.3333,-72.4167,56.53,69,0,1.74
217,Sioux Lookout,CA,2021-03-29 00:36:46,50.1001,-91.917,30.2,34,20,3.44
218,Jumla,NP,2021-03-29 00:36:46,29.2747,82.1838,46.85,60,100,3.13
219,Grootfontein,NA,2021-03-29 00:36:47,-19.5667,18.1167,62.6,88,11,4.61
220,Mana,GF,2021-03-29 00:36:47,5.6592,-53.7767,77.77,84,100,12.62
221,Barra Patuca,HN,2021-03-29 00:36:47,15.8,-84.2833,78.67,77,0,11.92
222,Port Lincoln,AU,2021-03-29 00:36:48,-34.7333,135.8667,67.41,68,4,10.11
223,Spirit River,CA,2021-03-29 00:36:48,55.7833,-118.8361,23.0,68,100,13.8
224,Egvekinot,RU,2021-03-29 00:36:48,66.3167,-179.1667,8.35,88,100,13.31
225,Baruun-Urt,MN,2021-03-29 00:36:49,46.6806,113.2792,33.85,35,0,7.49
226,Mnogovershinnyy,RU,2021-03-29 00:36:49,53.9353,139.9242,27.48,94,100,5.75
